txn_id,batch_ref,credit,value_date,narration
BNK-23434,ORD-2000,1696.62,2026-06-30,RAZORPAY SETL
BNK-40495,ORD-2001,2342.04,2026-06-05,RAZORPAY SETL
BNK-38893,ORD-2002,18864.43,2026-09-01,RAZORPAY SETL
BNK-54597,ORD-2003,24885.91,2026-06-24,RAZORPAY SETL
BNK-57052,ORD-2004,161841.05,2026-06-14,RAZORPAY SETL
BNK-48427,ORD-2005,63677.99,2026-07-20,RAZORPAY SETL
BNK-16006,ORD-2006,50892.54,2026-06-28,RAZORPAY SETL
BNK-69429,ORD-2007,264666.44,2026-06-15,RAZORPAY SETL
BNK-99593,ORD-2008,2049.19,2026-08-27,RAZORPAY SETL
BNK-59735,ORD-2009,15312.69,2026-07-03,RAZORPAY SETL
BNK-14207,ORD-2010,1913.03,2026-06-09,RAZORPAY SETL
BNK-37869,ORD-2011,1415.21,2026-08-15,RAZORPAY SETL
BNK-42325,ORD-2012,71486.04,2026-06-21,RAZORPAY SETL
BNK-38746,ORD-2013,469.60,2026-08-16,RAZORPAY SETL
BNK-30969,ORD-2014,19640.91,2026-06-16,RAZORPAY SETL
BNK-42953,ORD-2015,12395.74,2026-08-18,RAZORPAY SETL
BNK-94012,ORD-2016,7118.96,2026-08-10,RAZORPAY SETL
BNK-33416,ORD-2017,13742.31,2026-07-07,RAZORPAY SETL
BNK-36071,ORD-2018,46265.11,2026-08-24,RAZORPAY SETL
BNK-52487,ORD-2019,20087.02,2026-08-08,RAZORPAY SETL
BNK-41571,ORD-2020,266866.78,2026-07-11,RAZORPAY SETL
BNK-96474,ORD-2021,84167.38,2026-08-09,RAZORPAY SETL
BNK-80686,ORD-2022,2806.69,2026-08-19,RAZORPAY SETL
BNK-67422,ORD-2023,53628.20,2026-09-01,RAZORPAY SETL
BNK-40161,ORD-2024,769.52,2026-06-06,RAZORPAY SETL
BNK-53309,ORD-2025,3261.14,2026-07-01,RAZORPAY SETL
BNK-84847,ORD-2026,2621.02,2026-08-10,RAZORPAY SETL
BNK-96374,ORD-2027,83543.00,2026-06-26,RAZORPAY SETL
BNK-94696,ORD-2028,21751.00,2026-06-10,RAZORPAY SETL
BNK-34931,ORD-2029,83037.39,2026-06-15,RAZORPAY SETL
BNK-82132,ORD-2030,10321.43,2026-07-03,RAZORPAY SETL
BNK-73653,ORD-2031,95369.60,2026-07-02,RAZORPAY SETL
BNK-69638,ORD-2032,36466.37,2026-06-03,RAZORPAY SETL
BNK-17665,ORD-2033,14385.72,2026-06-27,RAZORPAY SETL
BNK-75909,ORD-2034,1866.12,2026-06-15,RAZORPAY SETL
BNK-18907,ORD-2035,2719.50,2026-06-25,RAZORPAY SETL
BNK-87924,ORD-2036,23269.49,2026-08-13,RAZORPAY SETL
BNK-36772,ORD-2037,16279.96,2026-08-08,RAZORPAY SETL
BNK-69929,ORD-2038,2227.21,2026-08-28,RAZORPAY SETL
BNK-80468,ORD-2039,3217.45,2026-08-13,RAZORPAY SETL
BNK-47353,ORD-2040,2021.68,2026-06-10,RAZORPAY SETL
BNK-97538,ORD-2041,69203.16,2026-08-26,RAZORPAY SETL
BNK-24029,ORD-2042,117868.37,2026-06-20,RAZORPAY SETL
BNK-93130,ORD-2043,1857.45,2026-07-15,RAZORPAY SETL
BNK-46265,ORD-2044,86370.18,2026-06-15,RAZORPAY SETL
BNK-67912,ORD-2045,71065.81,2026-07-05,RAZORPAY SETL
BNK-14722,ORD-2046,7066.68,2026-08-29,RAZORPAY SETL
BNK-15229,ORD-2047,13274.87,2026-06-10,RAZORPAY SETL
BNK-30257,ORD-2048,11788.63,2026-08-13,RAZORPAY SETL
BNK-41029,ORD-2048,11788.63,2026-08-14,RAZORPAY SETL
BNK-53540,ORD-2049,255967.50,2026-07-24,RAZORPAY SETL
BNK-24168,ORD-2050,87685.41,2026-07-04,RAZORPAY SETL
BNK-39831,ORD-2051,40698.82,2026-07-31,RAZORPAY SETL
BNK-94080,ORD-2052,10322.56,2026-06-11,RAZORPAY SETL
