expense_id,category,amount,due_date
EXP-0001,payroll,421310.73,2026-06-01
EXP-0002,rent,92416.98,2026-06-05
EXP-0003,utilities,20110.90,2026-06-10
EXP-0004,vendor_payment,141680.58,2026-06-19
EXP-0005,vendor_payment,240712.12,2026-06-15
EXP-0006,payroll,394322.42,2026-07-01
EXP-0007,rent,92247.88,2026-07-05
EXP-0008,utilities,20524.99,2026-07-10
EXP-0009,vendor_payment,167764.55,2026-07-21
EXP-0010,vendor_payment,257595.27,2026-07-11
EXP-0011,payroll,443449.90,2026-08-01
EXP-0012,rent,75094.27,2026-08-05
EXP-0013,utilities,21829.39,2026-08-10
EXP-0014,vendor_payment,183730.20,2026-08-06
EXP-0015,vendor_payment,168123.88,2026-08-25
EXP-0016,payroll,457975.25,2026-09-01
EXP-0017,rent,77588.12,2026-09-05
EXP-0018,utilities,24071.96,2026-09-10
EXP-0019,vendor_payment,152610.83,2026-09-16
EXP-0020,vendor_payment,148996.96,2026-09-02
EXP-0021,vendor_payment,176080.87,2026-09-24
EXP-0022,payroll,417310.14,2026-10-01
EXP-0023,rent,75281.54,2026-10-05
EXP-0024,utilities,22510.98,2026-10-10
EXP-0025,vendor_payment,114303.81,2026-10-22
EXP-0026,vendor_payment,80742.29,2026-10-24
EXP-0027,vendor_payment,124788.16,2026-10-23
EXP-0028,vendor_payment,237857.32,2026-10-10
EXP-0029,payroll,392893.08,2026-11-01
EXP-0030,rent,82671.01,2026-11-05
EXP-0031,utilities,26241.39,2026-11-10
EXP-0032,vendor_payment,91751.66,2026-11-02
EXP-0033,vendor_payment,133676.41,2026-11-10
