order_ref,noise
ORD-2000,clean
ORD-2001,clean
ORD-2002,clean
ORD-2003,clean
ORD-2004,fee_adjustment
ORD-2005,clean
ORD-2006,clean
ORD-2007,clean
ORD-2008,clean
ORD-2009,clean
ORD-2010,clean
ORD-2011,clean
ORD-2012,clean
ORD-2013,amount_anomaly
ORD-2014,clean
ORD-2015,missing_invoice
ORD-2016,clean
ORD-2017,clean
ORD-2018,clean
ORD-2019,clean
ORD-2020,fee_adjustment
ORD-2021,clean
ORD-2022,clean
ORD-2023,delayed_settlement
ORD-2024,clean
ORD-2025,clean
ORD-2026,clean
ORD-2027,clean
ORD-2028,clean
ORD-2029,clean
ORD-2030,clean
ORD-2031,clean
ORD-2032,clean
ORD-2033,clean
ORD-2034,delayed_settlement
ORD-2035,clean
ORD-2036,clean
ORD-2037,clean
ORD-2038,clean
ORD-2039,clean
ORD-2040,clean
ORD-2041,clean
ORD-2042,clean
ORD-2043,fee_adjustment
ORD-2044,clean
ORD-2045,clean
ORD-2046,clean
ORD-2047,delayed_settlement
ORD-2048,duplicate_settlement
ORD-2049,clean
ORD-2050,clean
ORD-2051,clean
ORD-2052,clean
ORD-2053,clean
ORD-2054,clean
ORD-2055,clean
ORD-2056,clean
ORD-2057,clean
ORD-2058,clean
ORD-2059,clean
ORD-2060,clean
ORD-2061,clean
ORD-2062,clean
ORD-2063,clean
ORD-2064,clean
ORD-2065,clean
ORD-2066,clean
ORD-2067,clean
ORD-2068,clean
ORD-2069,clean
ORD-2070,clean
ORD-2071,clean
ORD-2072,clean
ORD-2073,clean
ORD-2074,clean
ORD-2075,delayed_settlement
ORD-2076,clean
ORD-2077,clean
ORD-2078,clean
ORD-2079,clean
ORD-2080,clean
ORD-2081,clean
ORD-2082,clean
ORD-2083,clean
ORD-2084,clean
ORD-2085,clean
ORD-2086,clean
ORD-2087,clean
ORD-2088,clean
ORD-2089,clean
ORD-2090,clean
ORD-2091,clean
ORD-2092,clean
ORD-2093,clean
ORD-2094,missing_bank
ORD-2095,clean
ORD-2096,clean
ORD-2097,clean
ORD-2098,clean
ORD-2099,clean
ORD-2100,clean
ORD-2101,delayed_settlement
ORD-2102,missing_bank
ORD-2103,clean
ORD-2104,clean
ORD-2105,clean
ORD-2106,clean
ORD-2107,clean
ORD-2108,clean
ORD-2109,clean
ORD-2110,clean
ORD-2111,clean
ORD-2112,clean
ORD-2113,clean
ORD-2114,clean
ORD-2115,clean
ORD-2116,clean
ORD-2117,clean
ORD-2118,clean
ORD-2119,clean
ORD-2120,clean
ORD-2121,clean
ORD-2122,clean
ORD-2123,fee_adjustment
ORD-2124,rounding
ORD-2125,clean
ORD-2126,clean
ORD-2127,fee_adjustment
ORD-2128,clean
ORD-2129,clean
ORD-2130,clean
ORD-2131,clean
ORD-2132,clean
ORD-2133,delayed_settlement
ORD-2134,clean
ORD-2135,clean
ORD-2136,clean
ORD-2137,clean
ORD-2138,clean
ORD-2139,clean
ORD-2140,clean
ORD-2141,clean
ORD-2142,clean
ORD-2143,missing_invoice
ORD-2144,clean
ORD-2145,clean
ORD-2146,clean
ORD-2147,missing_bank
ORD-2148,clean
ORD-2149,clean
ORD-2150,clean
ORD-2151,clean
ORD-2152,clean
ORD-2153,clean
ORD-2154,clean
ORD-2155,clean
ORD-2156,clean
ORD-2157,clean
ORD-2158,clean
ORD-2159,clean
ORD-2160,clean
ORD-2161,amount_anomaly
ORD-2162,clean
ORD-2163,clean
ORD-2164,clean
ORD-2165,clean
ORD-2166,clean
ORD-2167,clean
ORD-2168,fee_adjustment
ORD-2169,fee_adjustment
ORD-2170,clean
ORD-2171,fee_adjustment
ORD-2172,clean
ORD-2173,clean
ORD-2174,clean
ORD-2175,clean
ORD-2176,clean
ORD-2177,clean
ORD-2178,clean
ORD-2179,fee_adjustment
ORD-2180,clean
ORD-2181,clean
ORD-2182,clean
ORD-2183,clean
ORD-2184,clean
ORD-2185,clean
ORD-2186,clean
ORD-2187,clean
