invoice_id,order_ref,amount,customer,due_date,status
INV-2000,ORD-2000,1737.63,Devika Foods,2026-06-29,paid
INV-2001,ORD-2001,2398.65,Ravi Traders,2026-06-04,paid
INV-2002,ORD-2002,19320.39,Aarav Textiles,2026-08-29,paid
INV-2003,ORD-2003,25487.41,Indus Apparel,2026-06-21,paid
INV-2004,ORD-2004,167318.91,Ganga Stationers,2026-06-12,paid
INV-2005,ORD-2005,65217.11,Bansal Traders,2026-07-19,paid
INV-2006,ORD-2006,52122.63,Tarun Auto Parts,2026-06-25,paid
INV-2007,ORD-2007,271063.54,Jyoti Enterprises,2026-06-13,paid
INV-2008,ORD-2008,2098.72,Lotus Bakery,2026-08-25,paid
INV-2009,ORD-2009,15682.80,Tarun Auto Parts,2026-07-02,paid
INV-2010,ORD-2010,1959.27,Ravi Traders,2026-06-08,paid
INV-2011,ORD-2011,1449.42,Meera Motors,2026-08-12,paid
INV-2012,ORD-2012,73213.89,Meera Motors,2026-06-19,paid
INV-2013,ORD-2013,3130.64,Ravi Traders,2026-08-14,paid
INV-2014,ORD-2014,20115.64,Quantum Solutions,2026-06-15,paid
INV-2016,ORD-2016,7291.03,Aarav Textiles,2026-08-08,paid
INV-2017,ORD-2017,14074.47,Jyoti Enterprises,2026-07-04,paid
INV-2018,ORD-2018,47383.36,Devika Foods,2026-08-21,paid
INV-2019,ORD-2019,20572.53,Falcon Electricals,2026-08-07,paid
INV-2020,ORD-2020,275744.38,Devika Foods,2026-07-10,paid
INV-2021,ORD-2021,86201.74,Chetak Logistics,2026-08-08,paid
INV-2022,ORD-2022,2874.53,Ravi Traders,2026-08-17,paid
INV-2023,ORD-2023,54924.42,Ganga Stationers,2026-08-25,paid
INV-2024,ORD-2024,788.12,Devika Foods,2026-06-03,paid
INV-2025,ORD-2025,3339.96,Aarav Textiles,2026-06-30,paid
INV-2026,ORD-2026,2684.37,Harit Agro,2026-08-09,paid
INV-2027,ORD-2027,85562.27,Harit Agro,2026-06-25,paid
INV-2028,ORD-2028,22276.73,Nakshatra Gems,2026-06-07,paid
INV-2029,ORD-2029,85044.44,Meera Motors,2026-06-14,paid
INV-2030,ORD-2030,10570.90,Everest Hardware,2026-07-02,paid
INV-2031,ORD-2031,97674.72,Ravi Traders,2026-07-01,paid
INV-2032,ORD-2032,37347.78,Meera Motors,2026-06-01,paid
INV-2033,ORD-2033,14733.43,Ravi Traders,2026-06-25,paid
