payment_id,order_ref,amount,fee,settled_at
pay_3518392a,ORD-2000,1737.63,41.01,2026-06-29
pay_13f40b22,ORD-2001,2398.65,56.61,2026-06-04
pay_20cf4aa9,ORD-2002,19320.39,455.96,2026-08-31
pay_2101fe44,ORD-2003,25487.41,601.50,2026-06-23
pay_c267ae5,ORD-2004,167318.91,3948.73,2026-06-13
pay_294a833c,ORD-2005,65217.11,1539.12,2026-07-19
pay_a697874,ORD-2006,52122.63,1230.09,2026-06-27
pay_17c032ce,ORD-2007,271063.54,6397.10,2026-06-14
pay_32e080bf,ORD-2008,2098.72,49.53,2026-08-26
pay_238b8cdc,ORD-2009,15682.80,370.11,2026-07-02
pay_3a8e4aea,ORD-2010,1959.27,46.24,2026-06-08
pay_1a198fb5,ORD-2011,1449.42,34.21,2026-08-14
pay_ee59507,ORD-2012,73213.89,1727.85,2026-06-20
pay_1d20d425,ORD-2013,3130.64,73.88,2026-08-15
pay_2e1df471,ORD-2014,20115.64,474.73,2026-06-15
pay_27d2e36a,ORD-2015,12695.35,299.61,2026-08-17
pay_372699b8,ORD-2016,7291.03,172.07,2026-08-09
pay_36b9de1b,ORD-2017,14074.47,332.16,2026-07-06
pay_2cef3f31,ORD-2018,47383.36,1118.25,2026-08-23
pay_2c4afcad,ORD-2019,20572.53,485.51,2026-08-07
pay_9aaecc6,ORD-2020,275744.38,6507.57,2026-07-10
pay_e2d71d7,ORD-2021,86201.74,2034.36,2026-08-08
pay_1383fb08,ORD-2022,2874.53,67.84,2026-08-18
pay_1ddc001c,ORD-2023,54924.42,1296.22,2026-08-27
pay_29695440,ORD-2024,788.12,18.60,2026-06-05
pay_7f88c7e,ORD-2025,3339.96,78.82,2026-06-30
pay_3441498a,ORD-2026,2684.37,63.35,2026-08-09
pay_c29fe4a,ORD-2027,85562.27,2019.27,2026-06-25
pay_2fc817f3,ORD-2028,22276.73,525.73,2026-06-09
pay_1238e400,ORD-2029,85044.44,2007.05,2026-06-14
pay_2252220d,ORD-2030,10570.90,249.47,2026-07-02
pay_1ff8911e,ORD-2031,97674.72,2305.12,2026-07-01
pay_16eef73f,ORD-2032,37347.78,881.41,2026-06-02
pay_13e4b0bb,ORD-2033,14733.43,347.71,2026-06-26
pay_247994fa,ORD-2034,1911.22,45.10,2026-06-09
pay_2c0aef20,ORD-2035,2785.23,65.73,2026-06-24
pay_2b02e380,ORD-2036,23831.92,562.43,2026-08-12
pay_16a64398,ORD-2037,16673.45,393.49,2026-08-07
pay_192907f0,ORD-2038,2281.04,53.83,2026-08-27
pay_aa62eb8,ORD-2039,3295.22,77.77,2026-08-12
pay_1d9c35f4,ORD-2040,2070.54,48.86,2026-06-09
pay_6760d7c,ORD-2041,70875.83,1672.67,2026-08-25
pay_d590feb,ORD-2042,120717.30,2848.93,2026-06-19
pay_31f5d4f4,ORD-2043,3221.73,76.03,2026-07-14
pay_2111be8c,ORD-2044,88457.78,2087.60,2026-06-14
pay_356634c7,ORD-2045,72783.50,1717.69,2026-07-04
pay_28e0d48e,ORD-2046,7237.48,170.80,2026-08-28
pay_1d4c544a,ORD-2047,13595.73,320.86,2026-06-07
pay_2daecc0a,ORD-2048,12073.57,284.94,2026-08-12
pay_11708624,ORD-2049,262154.34,6186.84,2026-07-23
pay_10262d24,ORD-2050,89804.80,2119.39,2026-07-03
pay_197e2046,ORD-2051,41682.53,983.71,2026-07-30
pay_1c6f0e9c,ORD-2052,10572.06,249.50,2026-06-10
pay_2b1e42d7,ORD-2053,624.20,14.73,2026-07-04
pay_2cc20135,ORD-2054,19570.90,461.87,2026-07-12
pay_273c40fd,ORD-2055,699.74,16.51,2026-07-26
pay_2dd7a839,ORD-2056,6399.48,151.03,2026-08-26
pay_2018fd05,ORD-2057,47524.17,1121.57,2026-07-12
pay_314f0e5b,ORD-2058,8836.80,208.55,2026-08-26
pay_13698310,ORD-2059,21674.50,511.52,2026-07-10
pay_13a329a6,ORD-2060,14299.76,337.47,2026-07-29
pay_2d97d913,ORD-2061,10675.73,251.95,2026-08-26
pay_7861083,ORD-2062,9492.81,224.03,2026-06-26
pay_2e43f477,ORD-2063,20369.79,480.73,2026-07-30
pay_650b9a1,ORD-2064,9879.69,233.16,2026-08-25
pay_92ca829,ORD-2065,4810.85,113.54,2026-08-07
pay_29bb4f96,ORD-2066,21028.33,496.27,2026-08-27
pay_3b1dec94,ORD-2067,19385.48,457.50,2026-08-05
pay_2ec552eb,ORD-2068,60600.58,1430.17,2026-07-04
pay_33a09916,ORD-2069,9784.92,230.92,2026-07-27
pay_14c2ddf6,ORD-2070,2930.69,69.16,2026-06-18
pay_2091ec8b,ORD-2071,2334.20,55.09,2026-08-10
pay_36f56160,ORD-2072,20395.92,481.34,2026-08-29
pay_286815aa,ORD-2073,159722.53,3769.45,2026-07-21
pay_1ed8ea53,ORD-2074,10458.71,246.83,2026-08-02
pay_2824f5e7,ORD-2075,88037.92,2077.69,2026-06-19
pay_238258a7,ORD-2076,6678.95,157.62,2026-07-25
pay_17c4d5d6,ORD-2077,2546.15,60.09,2026-07-15
pay_144f88e9,ORD-2078,19980.49,471.54,2026-06-08
pay_2db9d7a3,ORD-2079,96220.88,2270.81,2026-06-26
pay_32b9e9bc,ORD-2080,16279.39,384.19,2026-06-29
pay_19ddf0c9,ORD-2081,24274.69,572.88,2026-06-15
pay_33b8ae08,ORD-2082,23160.52,546.59,2026-07-20
pay_3983a62b,ORD-2083,3976.16,93.84,2026-08-29
pay_1dad4fef,ORD-2084,51040.28,1204.55,2026-07-27
pay_21b4b9ec,ORD-2085,2390.26,56.41,2026-08-02
pay_173ee8a9,ORD-2086,57661.54,1360.81,2026-08-08
pay_1a968460,ORD-2087,59865.53,1412.83,2026-08-16
pay_2d058db5,ORD-2088,2528.61,59.68,2026-08-01
pay_1cab54c1,ORD-2089,11500.28,271.41,2026-08-02
pay_123025bc,ORD-2090,45720.14,1079.00,2026-06-04
pay_2f4c5a18,ORD-2091,20163.29,475.85,2026-08-29
pay_198ec22e,ORD-2092,1497.18,35.33,2026-08-28
pay_1c79f14a,ORD-2093,11875.15,280.25,2026-08-11
pay_35813e02,ORD-2094,3745.78,88.40,2026-07-11
pay_2bb1abb5,ORD-2095,3823.72,90.24,2026-07-08
pay_194e3b2f,ORD-2096,47218.48,1114.36,2026-07-17
pay_32985d89,ORD-2097,4884.33,115.27,2026-08-11
pay_249921ea,ORD-2098,555.19,13.10,2026-07-08
pay_1f9b11d0,ORD-2099,4377.75,103.31,2026-06-15
pay_15d83d50,ORD-2100,4150.14,97.94,2026-07-09
pay_1e4dfe16,ORD-2101,20814.82,491.23,2026-07-01
pay_2cfa125c,ORD-2102,161076.05,3801.39,2026-08-19
pay_154fd47a,ORD-2103,10292.92,242.91,2026-06-11
pay_1899df04,ORD-2104,2527.27,59.64,2026-08-17
pay_16e45784,ORD-2105,59052.35,1393.64,2026-08-27
pay_16f60056,ORD-2106,15891.25,375.03,2026-08-22
pay_2210f815,ORD-2107,69628.30,1643.23,2026-08-13
pay_25903843,ORD-2108,23853.52,562.94,2026-08-06
pay_79da63c,ORD-2109,80090.04,1890.12,2026-08-18
pay_2ad71c0a,ORD-2110,5414.91,127.79,2026-08-27
pay_2b6beb60,ORD-2111,18030.19,425.51,2026-07-06
pay_1a8218ef,ORD-2112,194002.08,4578.45,2026-07-24
pay_1f96e378,ORD-2113,3621.53,85.47,2026-07-09
pay_3ac17c73,ORD-2114,1954.73,46.13,2026-07-24
pay_2dcf1cbb,ORD-2115,6084.08,143.58,2026-08-07
pay_32a601e5,ORD-2116,2971.49,70.13,2026-07-08
pay_6d5ebdc,ORD-2117,78233.71,1846.32,2026-07-12
pay_2f69f454,ORD-2118,282585.98,6669.03,2026-07-30
pay_158f2a80,ORD-2119,10468.50,247.06,2026-08-02
pay_17a3ea96,ORD-2120,3197.20,75.45,2026-06-18
pay_2b1357f2,ORD-2121,511.54,12.07,2026-07-11
pay_36c8c8ee,ORD-2122,14686.83,346.61,2026-07-15
pay_1e78792b,ORD-2123,98558.10,2325.97,2026-07-03
pay_306fc1b5,ORD-2124,77892.09,1838.25,2026-07-20
pay_2223db1a,ORD-2125,4844.09,114.32,2026-07-13
pay_abfdd6f,ORD-2126,1148.70,27.11,2026-08-23
pay_1afd18f3,ORD-2127,3617.17,85.37,2026-08-23
pay_8420cbd,ORD-2128,22748.77,536.87,2026-08-04
pay_369fc6a2,ORD-2129,249353.27,5884.74,2026-07-26
pay_1ab86ef7,ORD-2130,18880.02,445.57,2026-06-04
pay_31987f04,ORD-2131,9883.95,233.26,2026-07-25
pay_25cfa8bb,ORD-2132,12650.89,298.56,2026-08-27
pay_3974fcb8,ORD-2133,14191.41,334.92,2026-08-25
pay_2eda4026,ORD-2134,4753.56,112.18,2026-08-16
pay_cc9493f,ORD-2135,39941.27,942.61,2026-07-21
pay_3b1536de,ORD-2136,24853.84,586.55,2026-07-08
pay_35a6c78d,ORD-2137,18715.99,441.70,2026-06-09
pay_2eb439e8,ORD-2138,42258.88,997.31,2026-07-16
pay_19bb6f68,ORD-2139,23068.07,544.41,2026-08-22
pay_35cc9af9,ORD-2140,31760.00,749.54,2026-07-09
pay_261348c7,ORD-2141,90734.54,2141.34,2026-07-19
pay_1ba363bf,ORD-2142,95814.09,2261.21,2026-07-10
pay_311f59bf,ORD-2143,4849.25,114.44,2026-08-28
pay_284d1466,ORD-2144,20813.64,491.20,2026-06-03
pay_312666a8,ORD-2145,21448.35,506.18,2026-07-18
pay_2f6903fd,ORD-2146,67105.55,1583.69,2026-08-18
pay_ee7fc4c,ORD-2147,47664.26,1124.88,2026-07-23
pay_ea49943,ORD-2148,123224.10,2908.09,2026-07-03
pay_2fe01e8d,ORD-2149,19845.38,468.35,2026-06-21
pay_1daca44f,ORD-2150,24030.43,567.12,2026-06-07
pay_28ce6850,ORD-2151,32451.60,765.86,2026-08-28
pay_3060ae92,ORD-2152,4856.93,114.62,2026-07-29
pay_e050409,ORD-2153,110115.70,2598.73,2026-07-13
pay_3785223b,ORD-2154,1471.78,34.73,2026-07-01
pay_2888c4df,ORD-2155,4362.83,102.96,2026-06-19
pay_3884fcd7,ORD-2156,5515.60,130.17,2026-06-03
pay_d3be8ba,ORD-2157,735.80,17.36,2026-07-26
pay_2d53ca17,ORD-2158,7181.08,169.47,2026-08-04
pay_249d84bb,ORD-2159,3395.03,80.12,2026-06-04
pay_1a935be5,ORD-2160,23194.02,547.38,2026-06-10
pay_1ac5b79c,ORD-2161,3348.85,79.03,2026-08-12
pay_d487060,ORD-2162,17108.54,403.76,2026-06-15
pay_2071ccec,ORD-2163,41126.73,970.59,2026-07-28
pay_30870196,ORD-2164,6901.72,162.88,2026-07-26
pay_bed5c60,ORD-2165,14485.36,341.85,2026-06-12
pay_29e87fda,ORD-2166,66727.81,1574.78,2026-08-17
pay_940c57b,ORD-2167,18306.81,432.04,2026-07-27
pay_24d211ee,ORD-2168,2783.36,65.69,2026-06-22
pay_399f64d3,ORD-2169,20252.11,477.95,2026-08-13
pay_300fc925,ORD-2170,17853.98,421.35,2026-06-06
pay_659ea88,ORD-2171,48173.85,1136.90,2026-07-15
pay_35b62c8c,ORD-2172,3834.36,90.49,2026-06-04
pay_1ab89171,ORD-2173,8148.19,192.30,2026-07-12
pay_b2e82b9,ORD-2174,3894.96,91.92,2026-06-09
pay_3646de09,ORD-2175,13840.88,326.64,2026-07-05
pay_27af2ad4,ORD-2176,3551.98,83.83,2026-08-16
pay_1940556a,ORD-2177,16986.50,400.88,2026-06-01
pay_2185bb0e,ORD-2178,1039.93,24.54,2026-08-05
pay_a92c388,ORD-2179,62519.68,1475.46,2026-08-26
