receivable_id,customer,amount,due_date,days_overdue,recovery_likelihood,tier,expected_value
REC-3001,Kavya Interiors,198035.74,2026-08-11,19,0.789,high,156250.2
REC-3019,Devika Foods,91771.9,2026-08-12,18,0.8,high,73417.52
REC-3013,Prakash Paints,76615.29,2026-08-21,9,0.9,high,68953.76
REC-3016,Devika Foods,73325.26,2026-07-23,38,0.578,medium,42382.0
REC-3018,Jyoti Enterprises,18535.33,2026-08-29,1,0.989,high,18331.44
REC-3004,Bansal Traders,17806.42,2026-08-19,11,0.878,high,15634.04
REC-3010,Quantum Solutions,33830.09,2026-07-10,51,0.433,medium,14648.43
REC-3012,Ganga Stationers,13195.12,2026-08-21,9,0.9,high,11875.61
REC-3000,Tarun Auto Parts,13673.3,2026-07-30,31,0.656,medium,8969.68
REC-3009,Tarun Auto Parts,7743.27,2026-08-07,23,0.744,high,5760.99
REC-3017,Indus Apparel,6996.18,2026-08-06,24,0.733,high,5128.2
REC-3008,Aarav Textiles,3477.49,2026-08-19,11,0.878,high,3053.24
REC-3003,Aarav Textiles,8379.69,2026-07-03,58,0.356,medium,2983.17
REC-3007,Ravi Traders,3658.41,2026-08-12,18,0.8,high,2926.73
REC-3011,Prakash Paints,1398.87,2026-08-28,2,0.978,high,1368.09
REC-3006,Aarav Textiles,1021.05,2026-08-16,14,0.844,high,861.77
REC-3015,Prakash Paints,905.37,2026-08-20,10,0.889,high,804.87
REC-3014,Aarav Textiles,900.51,2026-08-08,22,0.756,high,680.79
REC-3002,Meera Motors,1509.45,2026-07-06,55,0.389,medium,587.18
REC-3005,Bansal Traders,5959.21,2026-06-07,84,0.067,low,399.27
